id,Month,Initial Decisions,Substantive Interviews,Total Principal Stages Completed,Asylum Caseworking Staff,Productivity (Principal Stages Per Caseworker Per Month)
1,2020-01-01 00:00:00,2332,2304,4636,635,7
2,2020-02-01 00:00:00,2246,2231,4477,616,7
3,2020-03-01 00:00:00,1970,1588,3558,607,6
4,2020-04-01 00:00:00,380,1,381,608,1
5,2020-05-01 00:00:00,1052,1,1053,604,2
6,2020-06-01 00:00:00,1786,1,1787,602,3
7,2020-07-01 00:00:00,1468,20,1488,602,2
8,2020-08-01 00:00:00,944,446,1390,614,2
9,2020-09-01 00:00:00,957,810,1767,619,3
10,2020-10-01 00:00:00,1855,1452,3307,604,5
11,2020-11-01 00:00:00,1665,1865,3530,591,6
12,2020-12-01 00:00:00,1468,1890,3358,579,6
13,2021-01-01 00:00:00,1597,1815,3412,566,6
14,2021-02-01 00:00:00,1556,1966,3522,545,6
15,2021-03-01 00:00:00,2194,2258,4452,555,8
16,2021-04-01 00:00:00,1691,1964,3655,543,7
17,2021-05-01 00:00:00,1541,1661,3202,533,6
18,2021-06-01 00:00:00,1721,1699,3420,545,6
19,2021-07-01 00:00:00,1505,1448,2953,562,5
20,2021-08-01 00:00:00,1509,947,2456,590,4
21,2021-09-01 00:00:00,1818,857,2675,623,4
22,2021-10-01 00:00:00,1807,1063,2870,600,5
23,2021-11-01 00:00:00,1719,1395,3114,604,5
24,2021-12-01 00:00:00,1615,954,2569,591,4
25,2022-01-01 00:00:00,1970,1228,3198,681,5
26,2022-02-01 00:00:00,2244,1355,3599,728,5
27,2022-03-01 00:00:00,2605,1729,4334,777,6
28,2022-04-01 00:00:00,1807,1605,3412,800,4
29,2022-05-01 00:00:00,2391,2058,4449,789,6
30,2022-06-01 00:00:00,2364,2035,4399,848,5
31,2022-07-01 00:00:00,2832,1933,4765,865,5
32,2022-08-01 00:00:00,3292,2459,5751,892,6
33,2022-09-01 00:00:00,3273,2455,5728,911,6
34,2022-10-01 00:00:00,3084,2393,5477,1175,5
35,2022-11-01 00:00:00,3805,2641,6446,1265,5
36,2022-12-01 00:00:00,3352,2103,5455,1237,4
37,2023-01-01 00:00:00,4748,2603,7351,1333,6
38,2023-02-01 00:00:00,5232,2132,7364,1302,6
39,2023-03-01 00:00:00,6234,2313,8547,1281,7
40,2023-04-01 00:00:00,5352,1704,7056,2123,6
41,2023-05-01 00:00:00,4933,2498,7431,1280,6
42,2023-06-01 00:00:00,6505,4335,10840,1556,7
43,2023-07-01 00:00:00,7743,4440,12183,1729,7
44,2023-08-01 00:00:00,9061,6278,15339,2445,6
45,2023-09-01 00:00:00,12706,7692,20398,2461,8
46,2023-10-01 00:00:00,15972,8381,24353,2446,10
47,2023-11-01 00:00:00,17670,7817,25487,2419,11
48,2023-12-01 00:00:00,16849,4893,21742,2392,9
49,2024-01-01 00:00:00,8141,8843,16984,2426.8,7
50,2024-02-01 00:00:00,9912,7683,17595,2500.35,7
51,2024-03-01 00:00:00,9621,4802,14423,2546.91,6
52,2024-04-01 00:00:00,14194,3530,17724,2490.57,7
53,2024-05-01 00:00:00,3507,1626,5133,2507.3,2
54,2024-06-01 00:00:00,3132,1169,4301,2463.78,2
55,2024-07-01 00:00:00,2110,1649,3759,2455,1
56,2024-08-01 00:00:00,3751,10425,14176,2264,6
57,2024-09-01 00:00:00,7678,11643,19321,2172,9
58,2024-10-01 00:00:00,9606,11165,20771,2131,9.717972782731112
59,2024-11-01 00:00:00,11814,9045,20859,2073,10.000964785335263
60,2024-12-01 00:00:00,10173,7015,17188,2057,8.047642197374818
61,2025-01-01 00:00:00,11308,8926,20234,2028,9.977317554240631
62,2025-02-01 00:00:00,9265,8330,17595,1993,8.828399397892625
63,2025-03-01 00:00:00,10848,7561,18409,1996,9.222945891783567
64,2025-04-01 00:00:00,9274,10993,20267,1994.58,10.161036408667488
65,2025-05-01 00:00:00,10156,11775,21931,2071.3,10.588036498817168
66,2025-06-01 00:00:00,10438,11827,22265,2056.63,10.825962861574517
