id,Quarter,Under 18,18 to 25,26 to 30,31 to 40,41 to 50,51 to 60,61 to 70,71 to 80,Over 80
1,2017 Q3,123,15,18,114,78,10,3,2,0
2,2017 Q4,200,41,59,245,158,24,10,5,0
3,2018 Q1,168,43,59,223,169,25,11,9,1
4,2018 Q2,174,47,58,246,161,28,10,3,2
5,2018 Q3,235,59,59,248,194,32,6,6,0
6,2018 Q4,248,44,72,302,199,32,9,8,2
7,2019 Q1,215,40,70,298,192,39,3,2,0
8,2019 Q2,236,63,60,330,225,38,17,8,1
9,2019 Q3,193,46,55,276,180,46,17,15,3
10,2019 Q4,204,52,64,320,213,41,20,10,2
11,2020 Q1,208,40,51,271,216,46,18,11,2
12,2020 Q2,1376,305,370,2019,1307,283,60,23,5
13,2020 Q3,765,199,182,927,694,184,46,26,6
14,2020 Q4,373,109,100,552,425,127,43,21,2
15,2021 Q1,288,108,111,557,410,105,32,15,5
16,2021 Q2,236,68,75,371,300,70,36,15,5
17,2021 Q3,163,68,54,283,219,65,23,15,4
18,2021 Q4,122,50,71,280,186,54,25,13,1
19,2022 Q1,125,49,72,232,170,46,33,13,5
20,2022 Q2,129,45,75,250,184,48,35,9,2
21,2022 Q3,143,36,78,275,185,56,32,13,4
22,2022 Q4,138,51,80,294,200,67,36,15,3
23,2023 Q1,164,46,86,286,220,66,47,17,3
24,2023 Q2,135,48,61,276,208,86,52,20,4
25,2023 Q3,136,48,83,270,164,81,46,18,4
26,2023 Q4,166,56,102,297,200,65,47,22,5
27,2024 Q1,189,53,100,257,213,53,56,19,4
28,2024 Q2,169,60,96,272,196,87,51,25,5
29,2024 Q3,179,51,93,264,200,80,50,9,7
30,2024 Q4,182,61,72,321,238,111,61,24,6
31,2025 Q1,148,58,88,333,220,78,71,29,2
32,2025 Q2,78,49,93,266,211,93,60,28,6
