id,Nationality,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2025 Q1,2025 Q2
1,Afghanistan,2,1,4,5,7,11,5,5,15,9,4,20,12,9,14,23,13,21,16,6,14,11,12,9,5,16,15,17,19,35,34,22
2,Albania,1,7,6,7,9,8,12,9,5,14,10,25,22,23,20,12,11,46,58,77,61,100,69,82,59,86,54,70,45,49,55,37
3,Algeria,1,4,2,0,6,4,8,9,4,5,2,33,26,20,18,5,11,5,11,12,6,3,6,1,10,13,3,10,18,5,9,12
4,Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
5,Angola,0,0,0,0,0,0,0,0,0,0,0,7,1,3,1,2,2,5,3,1,3,1,0,0,0,0,0,1,2,1,3,1
6,Antigua & Barbuda,0,0,0,1,1,0,0,0,0,0,0,1,1,0,3,0,0,2,0,1,0,0,2,0,0,0,0,0,1,0,1,0
7,Argentina,0,0,0,0,2,0,0,0,0,0,0,1,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
8,Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,1,0,0,0,0
9,Australia,1,0,0,0,0,1,0,1,0,0,0,5,1,1,0,3,0,0,0,2,0,0,0,0,2,1,0,2,2,0,1,2
10,Azerbaijan,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,Bahrain,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12,Bangladesh,9,37,42,47,55,58,45,87,73,69,99,503,439,231,161,146,67,48,59,74,64,62,73,65,79,85,77,82,61,77,76,88
13,Barbados,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
14,Belarus,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
15,Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,Benin,0,0,0,0,0,1,0,0,0,0,1,0,0,4,0,1,1,0,0,1,0,0,0,0,1,0,0,8,0,3,0,0
18,Bolivia,0,4,0,1,4,1,2,0,0,0,1,26,21,9,1,6,5,3,0,2,2,4,0,0,1,0,1,1,0,5,2,2
19,Bosnia & Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Botswana,0,0,0,2,2,0,0,1,2,1,2,0,0,1,3,0,1,2,0,0,0,0,0,0,2,1,1,1,2,1,2,1
21,Brazil,2,0,1,4,2,7,4,8,1,2,5,10,2,8,7,6,5,4,5,10,5,4,5,6,5,8,9,6,10,11,7,11
22,British Citizen,6,10,8,7,9,6,10,6,4,2,4,47,11,11,10,4,1,0,0,2,4,0,4,0,1,2,1,1,1,0,0,1
23,British National (Overseas),0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,2,3,1,3,3,2,2,5,13,17,29,41,26,33,28,26,19
24,British Overseas Citizen,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,British Protected Person,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
27,Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1
28,Burundi,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0
29,Cambodia,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
30,Cameroon,2,7,2,3,4,2,3,13,9,11,3,37,9,8,8,10,3,5,3,4,11,7,3,6,7,4,16,8,10,6,7,6
31,Canada,1,0,1,1,0,0,4,1,0,0,0,8,1,2,0,0,2,0,0,2,1,1,3,0,2,3,2,3,1,4,6,2
32,Cape Verde,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Central African Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
34,Chile,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
35,China,6,5,4,15,18,18,12,11,5,9,3,26,20,14,11,7,8,9,7,17,2,9,10,22,29,35,44,34,38,43,37,29
36,Colombia,0,4,2,3,4,2,0,0,1,0,0,1,2,4,4,0,2,2,1,1,1,0,0,3,0,2,0,0,3,3,0,1
37,Comoros,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Congo,0,2,0,0,0,1,0,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1
39,Congo (Democratic Republic),4,2,1,1,0,0,0,1,0,1,2,6,1,0,1,2,2,0,2,1,2,1,0,0,1,2,2,6,2,5,1,4
40,Congo Democratic Republic,1,1,2,3,1,2,2,2,1,1,0,1,3,3,2,2,3,1,0,3,0,2,1,4,0,0,3,0,1,0,0,4
41,Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
42,Cuba,0,1,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0
43,Cyprus,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
44,Czechia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
45,Dominica,1,3,1,0,0,1,0,4,2,0,1,4,0,1,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,0
46,Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,1,0
47,Ecuador,0,0,0,1,2,3,2,0,1,3,2,7,2,8,2,0,1,0,3,1,0,0,0,4,0,0,1,0,2,3,0,0
48,Egypt,4,1,0,0,0,2,0,0,0,1,2,28,3,4,3,1,3,2,3,1,3,3,1,4,12,3,16,1,4,9,19,6
49,El Salvador,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
50,Eritrea,6,0,1,1,3,2,3,0,1,3,4,7,0,4,1,1,4,4,2,7,1,9,9,7,6,4,1,3,6,6,4,3
51,Eswatini,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Ethiopia,0,1,1,0,1,3,3,1,1,1,2,6,2,2,2,3,3,2,4,3,0,0,2,3,2,0,3,4,2,10,0,1
53,Fiji,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,2,1,2,0,1,1,0,0
54,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4
55,French Southern Territories,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
56,Gabon,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
57,Georgia,0,0,0,0,0,0,3,3,0,0,0,1,2,4,2,2,4,1,0,6,5,0,1,2,0,0,5,1,2,1,1,2
58,Germany,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
59,Ghana,56,81,96,83,93,115,124,112,118,112,91,423,275,214,158,119,118,78,81,65,86,70,103,87,72,73,81,73,85,84,78,69
60,Greece,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0
61,Grenada,0,5,0,1,0,1,1,3,1,1,4,4,3,2,8,2,2,6,3,0,2,3,1,0,6,3,1,1,4,1,2,1
62,Guatemala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
63,Guinea,0,0,6,2,0,5,1,1,0,0,0,5,1,0,1,1,0,1,1,0,1,2,1,0,0,0,0,0,2,2,1,0
64,Guinea-Bissau,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Guyana,1,1,3,1,1,5,0,1,2,0,1,3,3,1,5,0,1,1,0,0,0,2,1,0,3,1,3,2,1,0,0,1
66,Honduras,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
67,Hong Kong Special Administrative Region of China,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,3,6,1,5,3,10,2,5,5,11,16,7,4,14,11,8
68,Hungary,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
69,India,11,11,18,7,14,25,35,45,44,66,53,819,413,165,187,113,68,87,58,91,88,83,103,65,60,47,67,72,71,80,81,80
70,Indonesia,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,1,2,1,0,0,0,3,0,0,0,0
71,Iran,3,5,3,7,6,6,5,6,4,5,11,41,11,5,11,3,5,4,2,3,3,3,8,5,6,4,7,6,10,6,14,5
72,Iraq,0,6,3,5,8,5,9,5,9,5,3,206,41,17,16,16,13,16,14,14,10,19,26,9,13,11,20,27,31,27,20,21
73,Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
74,Isle of Man,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
75,Israel,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,4,0,0,2,0,0,3,0,0,0,0,0,0,1,0
76,Italy,0,0,0,0,0,0,0,0,0,1,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,6
77,Ivory Coast,10,9,12,3,1,9,7,3,4,9,1,13,9,5,8,2,3,1,5,4,6,7,4,2,2,4,7,2,0,7,6,2
78,Jamaica,43,126,96,69,84,91,54,64,71,80,65,155,101,86,82,60,51,37,49,42,51,54,41,43,40,43,41,44,30,40,51,38
79,Japan,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,1,2
80,Jordan,0,1,0,1,1,0,0,0,0,0,2,6,6,1,1,0,1,1,2,0,2,0,0,0,2,2,5,0,8,6,3,4
81,Kazakhstan,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Kenya,1,2,5,2,3,8,3,10,14,4,4,23,8,4,5,5,2,8,2,3,6,10,10,9,3,6,6,1,3,6,11,4
83,Kosovo,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,2,5,0,0,0,1,0,2,1,1
84,KOSOVO.,0,0,1,1,0,0,0,0,1,0,0,1,0,2,2,2,0,5,0,1,3,0,1,0,1,0,0,0,0,0,0,0
85,Kuwait,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,1
86,Kuwait Bidoun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
87,Kyrgyzstan,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
88,Laos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
89,Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
90,Lebanon,3,0,3,0,1,0,0,0,0,0,3,6,2,1,0,1,0,0,0,0,2,2,1,3,3,2,0,0,2,5,1,3
91,Lesotho,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
