id,Quarter,Male,Female,Recorded as Unknown
1,2017 Q3,116,247,0
2,2017 Q4,206,536,0
3,2018 Q1,193,515,0
4,2018 Q2,184,545,0
5,2018 Q3,269,570,0
6,2018 Q4,282,634,0
7,2019 Q1,258,601,0
8,2019 Q2,295,683,0
9,2019 Q3,234,596,1
10,2019 Q4,265,661,0
11,2020 Q1,274,589,0
12,2020 Q2,2537,3203,8
13,2020 Q3,1218,1811,0
14,2020 Q4,695,1057,0
15,2021 Q1,640,991,0
16,2021 Q2,419,757,0
17,2021 Q3,323,571,0
18,2021 Q4,274,528,0
19,2022 Q1,271,474,0
20,2022 Q2,282,494,1
21,2022 Q3,292,530,0
22,2022 Q4,315,569,0
23,2023 Q1,352,583,0
24,2023 Q2,302,588,0
25,2023 Q3,312,538,0
26,2023 Q4,376,583,1
27,2024 Q1,328,614,2
28,2024 Q2,339,606,17
29,2024 Q3,342,587,4
30,2024 Q4,409,666,1
31,2025 Q1,422,600,5
32,2025 Q2,324,559,0
