id,Quarter,Claim Pending,Claim Accepted,Claim Rejected,Grand Total
1,2017 Q3,0,148,215,363
2,2017 Q4,0,402,340,742
3,2018 Q1,0,351,357,708
4,2018 Q2,0,351,378,729
5,2018 Q3,0,421,418,839
6,2018 Q4,0,524,392,916
7,2019 Q1,0,679,180,859
8,2019 Q2,0,787,191,978
9,2019 Q3,0,662,169,831
10,2019 Q4,0,727,199,926
11,2020 Q1,0,709,154,863
12,2020 Q2,0,4572,1176,5748
13,2020 Q3,0,2498,531,3029
14,2020 Q4,0,1408,344,1752
15,2021 Q1,0,1090,541,1631
16,2021 Q2,0,776,400,1176
17,2021 Q3,0,641,253,894
18,2021 Q4,0,533,269,802
19,2022 Q1,0,462,283,745
20,2022 Q2,0,438,339,777
21,2022 Q3,0,483,339,822
22,2022 Q4,0,549,335,884
23,2023 Q1,0,627,308,935
24,2023 Q2,0,639,251,890
25,2023 Q3,0,535,315,850
26,2023 Q4,0,558,402,960
27,2024 Q1,0,482,462,944
28,2024 Q2,4,416,542,962
29,2024 Q3,0,486,447,933
30,2024 Q4,15,697,364,1076
31,2025 Q1,140,554,333,1027
32,2025 Q2,776,77,30,883
33,Grand Total,935,24282,11257,36474
