id,Quarter Cohort,Nationality,Gender,Age Group,Status,Days to Decision,Count
1,2017 Q3,Pakistan,Female,Under 18,Claim Rejected,55,1
2,2017 Q3,Nigeria,Female,Under 18,Claim Rejected,0,1
3,2017 Q3,Nigeria,Female,41 to 50,Claim Rejected,63,1
4,2017 Q3,Mauritius,Female,51 to 60,Claim Accepted,53,1
5,2017 Q3,Nigeria,Female,31 to 40,Claim Accepted,42,1
6,2017 Q3,St Lucia,Female,31 to 40,Claim Rejected,52,1
7,2017 Q3,Pakistan,Female,31 to 40,Claim Accepted,114,1
8,2017 Q3,Pakistan,Female,18 to 25,Claim Rejected,42,1
9,2017 Q3,Jamaica,Female,31 to 40,Claim Accepted,85,1
10,2017 Q3,China,Male,31 to 40,Claim Rejected,145,1
11,2017 Q3,Pakistan,Male,Under 18,Claim Rejected,74,1
12,2017 Q3,Nigeria,Female,41 to 50,Claim Accepted,56,1
13,2017 Q3,Nigeria,Female,18 to 25,Claim Accepted,71,1
14,2017 Q3,United States,Female,31 to 40,Claim Accepted,67,1
15,2017 Q3,Ghana,Female,26 to 30,Claim Accepted,87,1
16,2017 Q3,Morocco,Female,31 to 40,Claim Rejected,70,1
17,2017 Q3,Jamaica,Female,Under 18,Claim Rejected,52,1
18,2017 Q3,Ghana,Male,41 to 50,Claim Rejected,52,1
19,2017 Q3,Jamaica,Female,41 to 50,Claim Rejected,71,1
20,2017 Q3,India,Male,31 to 40,Claim Accepted,65,1
21,2017 Q3,Pakistan,Female,41 to 50,Claim Rejected,74,1
22,2017 Q3,Pakistan,Female,51 to 60,Claim Rejected,42,1
23,2017 Q3,Nigeria,Female,31 to 40,Claim Accepted,43,1
24,2017 Q3,Ghana,Male,41 to 50,Claim Accepted,39,1
25,2017 Q3,China,Female,31 to 40,Claim Rejected,82,1
26,2017 Q3,Nigeria,Male,Under 18,Claim Accepted,42,1
27,2017 Q3,United States,Female,18 to 25,Claim Rejected,71,1
28,2017 Q3,Nigeria,Female,31 to 40,Claim Accepted,40,1
29,2017 Q3,Malawi,Female,31 to 40,Claim Rejected,119,1
30,2017 Q3,India,Male,41 to 50,Claim Rejected,70,1
31,2017 Q3,Libya,Male,41 to 50,Claim Rejected,52,1
32,2017 Q3,Nigeria,Male,Under 18,Claim Rejected,52,1
33,2017 Q3,Ivory Coast,Female,Under 18,Claim Rejected,77,1
34,2017 Q3,British Citizen,Female,Under 18,Claim Accepted,35,1
35,2017 Q3,Bangladesh,Female,41 to 50,Claim Rejected,0,1
36,2017 Q3,Sierra Leone,Female,31 to 40,Claim Rejected,84,1
37,2017 Q3,Nigeria,Female,Under 18,Claim Accepted,52,1
38,2017 Q3,Libya,Male,Under 18,Claim Rejected,52,1
39,2017 Q3,Nigeria,Female,Under 18,Claim Rejected,57,1
40,2017 Q3,Nigeria,Male,Under 18,Claim Accepted,84,1
41,2017 Q3,Nigeria,Female,41 to 50,Claim Rejected,1,1
42,2017 Q3,Nigeria,Male,Under 18,Claim Rejected,50,1
43,2017 Q3,Ivory Coast,Male,31 to 40,Claim Rejected,61,1
44,2017 Q3,Jamaica,Female,31 to 40,Claim Accepted,60,1
45,2017 Q3,Ghana,Female,41 to 50,Claim Accepted,80,1
46,2017 Q3,Jamaica,Female,Under 18,Claim Accepted,65,1
47,2017 Q3,Nigeria,Male,41 to 50,Claim Rejected,61,1
48,2017 Q3,Nigeria,Female,41 to 50,Claim Rejected,50,1
