id,Quarter,Initial / Single Applications,Subsequent Applications,Total Applications1,% of applications that were not initial appplications10,% of rejections that were subsequently accepted11
1,2017 Q3,362,1,363,0.0027548209366391185,0
2,2017 Q4,692,50,742,0.0673854447439353,0.07941176470588235
3,2018 Q1,612,96,708,0.13559322033898305,0.16246498599439776
4,2018 Q2,621,108,729,0.14814814814814814,0.16137566137566137
5,2018 Q3,682,157,839,0.1871275327771156,0.21770334928229665
6,2018 Q4,738,178,916,0.1943231441048035,0.26785714285714285
7,2019 Q1,701,158,859,0.1839348079161816,0.7777777777777778
8,2019 Q2,861,117,978,0.1196319018404908,0.45549738219895286
9,2019 Q3,767,64,831,0.07701564380264742,0.28402366863905326
10,2019 Q4,862,64,926,0.06911447084233262,0.21608040201005024
11,2020 Q1,786,77,863,0.08922363847045191,0.4155844155844156
12,2020 Q2,5567,181,5748,0.031489213639526795,0.13095238095238096
13,2020 Q3,2914,115,3029,0.03796632551997359,0.17890772128060264
14,2020 Q4,1657,95,1752,0.05422374429223744,0.19186046511627908
15,2021 Q1,1539,92,1631,0.056407112201103615,0.12014787430683918
16,2021 Q2,1111,65,1176,0.055272108843537414,0.1
17,2021 Q3,832,62,894,0.06935123042505593,0.1857707509881423
18,2021 Q4,731,71,802,0.0885286783042394,0.16728624535315986
19,2022 Q1,695,50,745,0.06711409395973154,0.08833922261484099
20,2022 Q2,695,82,777,0.10553410553410554,0.12684365781710916
21,2022 Q3,756,66,822,0.08029197080291971,0.11799410029498525
22,2022 Q4,785,99,884,0.11199095022624435,0.14626865671641792
23,2023 Q1,841,94,935,0.10053475935828877,0.18506493506493507
24,2023 Q2,792,98,890,0.1101123595505618,0.2549800796812749
25,2023 Q3,775,75,850,0.08823529411764706,0.13333333333333333
26,2023 Q4,872,88,960,0.09166666666666666,0.11194029850746269
27,2024 Q1,878,66,944,0.06991525423728813,0.05844155844155844
28,2024 Q2,891,71,962,0.07380457380457381,0.042435424354243544
29,2024 Q3,884,49,933,0.05251875669882101,0.049217002237136466
30,2024 Q4,1009,67,1076,0.062267657992565055,0.07967032967032966
31,2025 Q1,981,46,1027,0.044790652385589096,0.06006006006006006
32,2025 Q2,868,15,883,0.01698754246885617,0.2
