id,Quarter,Total Applications,Of Which: Accepted,Of Which: Rejected,Of Which: IHS Exempt4,Of Which: Void5,Of Which: Withdrawn,Of Which: Other,Of Which: Outstanding,Resolved within 4 weeks,Accepted within 4 weeks
1,2018 Q4,415,209,180,7,19,0,0,0,88,55
2,2019 Q1,5068,2804,1990,31,212,31,0,0,2702,1440
3,2019 Q2,4452,2324,1821,30,238,38,1,0,399,250
4,2019 Q3,4817,2378,2005,50,350,33,1,0,590,427
5,2019 Q4,4547,2168,2052,29,248,49,1,0,510,398
6,2020 Q1,5694,3492,1777,28,328,66,1,2,157,110
7,2020 Q2,5966,4921,584,20,361,80,0,0,686,610
8,2020 Q3,9198,7688,718,57,600,135,0,0,5066,4605
9,2020 Q4,10044,8162,869,81,768,164,0,0,6825,6099
10,2021 Q1,12357,9370,1716,160,819,290,1,1,4870,4437
11,2021 Q2,12125,8893,2008,211,791,221,1,0,457,356
12,2021 Q3,12273,9410,1755,144,756,208,0,0,575,425
13,2021 Q4,11326,8447,1829,171,684,195,0,0,719,497
14,2022 Q1,13021,9270,2545,145,854,207,0,0,823,599
15,2022 Q2,11669,7577,2871,122,931,168,0,0,1237,908
16,2022 Q3,10773,6655,2645,75,1165,232,1,0,1503,1108
17,2022 Q4,8444,5079,2323,48,777,217,0,0,1312,920
18,2023 Q1,10531,5916,3384,52,889,288,1,1,1227,762
19,2023 Q2,14181,7782,4870,105,1094,327,2,0,779,298
20,2023 Q3,14129,7875,4690,81,1163,316,0,4,87,45
21,2023 Q4,13665,7511,4773,55,1055,269,0,2,143,55
22,2024 Q1,18548,7441,9678,60,1062,300,0,7,226,29
23,2024 Q2,22852,8564,13081,66,707,413,0,21,364,129
24,2024 Q3,25643,11058,13337,121,733,357,0,37,4501,3664
25,2024 Q4,24882,10873,12703,129,588,527,0,62,7210,5114
26,2025 Q1,29804,12186,15954,182,833,507,0,142,9992,6667
27,2025 Q2,28426,6097,5195,85,394,155,0,16500,1350,800
