id,Quarter,Total Applications,Of Which: Accepted,Of Which: Rejected,Of Which: IHS Exempt,Of Which: Void,Of Which: Withdrawn,Of Which: Other,Of Which: Outstanding,Resolved within 4 weeks,Accepted within 4 weeks
1,2018 Q4,0,0,0,0,0,0,0,0,0,0
2,2019 Q1,0,0,0,0,0,0,0,0,0,0
3,2019 Q2,0,0,0,0,0,0,0,0,0,0
4,2019 Q3,0,0,0,0,0,0,0,0,0,0
5,2019 Q4,0,0,0,0,0,0,0,0,0,0
6,2020 Q1,0,0,0,0,0,0,0,0,0,0
7,2020 Q2,0,0,0,0,0,0,0,0,0,0
8,2020 Q3,0,0,0,0,0,0,0,0,0,0
9,2020 Q4,0,0,0,0,0,0,0,0,0,0
10,2021 Q1,0,0,0,0,0,0,0,0,0,0
11,2021 Q2,0,0,0,0,0,0,0,0,0,0
12,2021 Q3,0,0,0,0,0,0,0,0,0,0
13,2021 Q4,0,0,0,0,0,0,0,0,0,0
14,2022 Q1,0,0,0,0,0,0,0,0,0,0
15,2022 Q2,66,21,40,0,4,1,0,0,0,0
16,2022 Q3,308,95,172,0,29,12,0,0,20,13
17,2022 Q4,373,121,218,1,22,11,0,0,2,0
18,2023 Q1,569,148,388,0,19,14,0,0,13,8
19,2023 Q2,573,110,420,2,29,12,0,0,25,8
20,2023 Q3,673,171,464,6,20,12,0,0,18,9
21,2023 Q4,750,199,489,2,46,14,0,0,81,48
22,2024 Q1,907,148,692,0,61,6,0,0,62,18
23,2024 Q2,891,231,571,0,62,20,0,7,44,5
24,2024 Q3,857,252,503,1,91,9,0,1,64,13
25,2024 Q4,875,227,546,0,74,19,0,9,21,21
26,2025 Q1,1063,196,415,4,122,14,0,312,6,4
27,2025 Q2,1001,10,137,0,69,5,0,780,50,9
