id,Quarter,Total Applications,Of Which: Accepted,Of Which: Rejected,Of Which: Void5,Of Which: Withdrawn,Of Which: Other,Of Which: Outstanding,Resolved within 4 weeks,Accepted within 4 weeks
1,2018 Q4,0,0,0,0,0,0,0,0,0
2,2019 Q1,0,0,0,0,0,0,0,0,0
3,2019 Q2,0,0,0,0,0,0,0,0,0
4,2019 Q3,0,0,0,0,0,0,0,0,0
5,2019 Q4,0,0,0,0,0,0,0,0,0
6,2020 Q1,0,0,0,0,0,0,0,0,0
7,2020 Q2,0,0,0,0,0,0,0,0,0
8,2020 Q3,0,0,0,0,0,0,0,0,0
9,2020 Q4,0,0,0,0,0,0,0,0,0
10,2021 Q1,0,0,0,0,0,0,0,0,0
11,2021 Q2,0,0,0,0,0,0,0,0,0
12,2021 Q3,0,0,0,0,0,0,0,0,0
13,2021 Q4,0,0,0,0,0,0,0,0,0
14,2022 Q1,0,0,0,0,0,0,0,0,0
15,2022 Q2,1206,527,659,3,17,0,0,146,113
16,2022 Q3,6240,3303,2860,33,44,0,0,905,542
17,2022 Q4,6182,3671,2380,43,88,0,0,196,42
18,2023 Q1,7343,4022,3199,53,69,0,0,418,33
19,2023 Q2,7530,3973,3387,151,19,0,0,1124,501
20,2023 Q3,7518,4177,2836,443,62,0,0,2859,1903
21,2023 Q4,7248,4276,2576,358,38,0,0,2331,1647
22,2024 Q1,7690,4200,3097,322,71,0,0,1422,883
23,2024 Q2,7193,3796,2986,372,39,0,0,1163,615
24,2024 Q3,7424,3836,3088,437,62,0,1,1400,814
25,2024 Q4,7629,4295,2962,298,74,0,0,795,333
26,2025 Q1,8316,4339,3559,291,97,0,30,770,180
27,2025 Q2,7632,1564,1382,259,33,0,4394,492,61
