id,Quarter,Route,Leave Type,Work-In-Progress ,Outstanding Not Input 
1,2019 Q3,HR/Complex,LTR,12479,0
2,2019 Q4,HR/Complex,LTR,8429,0
3,2020 Q1,HR/Complex,LTR,10778,0
4,2020 Q2,HR/Complex,LTR,23284,0
5,2020 Q3,HR/Complex,LTR,40966,0
6,2020 Q4,HR/Complex,LTR,48151,0
7,2021 Q1,HR/Complex,LTR,47751,0
8,2021 Q2,HR/Complex,LTR,48946,0
9,2021 Q3,HR/Complex,LTR,56260,0
10,2021 Q4,HR/Complex,LTR,65454,0
11,2022 Q1,HR/Complex,LTR,75457,0
12,2022 Q2,HR/Complex,LTR,76219,0
13,2022 Q3,HR/Complex,LTR,69843,0
14,2022 Q4,HR/Complex,LTR,53722,0
15,2023 Q1,HR/Complex,LTR,42098,0
16,2023 Q2,HR/Complex,LTR,43925,0
17,2023 Q3,HR/Complex,LTR,52985,0
18,2023 Q4,HR/Complex,LTR,55581,0
19,2024 Q1,HR/Complex,LTR,54887,0
20,2024 Q2,HR/Complex,LTR,51055,0
21,2024 Q3,HR/Complex,LTR,63480,0
22,2024 Q4,HR/Complex,LTR,65814,0
23,2025 Q1,HR/Complex,LTR,66840,0
24,2025 Q2,HR/Complex,LTR,70105,0
